popularity;acousticness;danceability;duration_ms;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;valence;music_genre
60.0;0.177;0.682;297427.0;0.92;0.00158;A#;0.0443;-1.544;Major;0.278;82.228;0.835;Hip-Hop
53.0;0.0266;0.7759999999999999;144493.0;0.897;0.0;A;0.1689999999999999;-3.96;Major;0.142;100.14;0.499;Rap
36.0;0.0461;0.785;394608.0;0.6459999999999999;0.331;D#;0.0992;-10.603;Major;0.0496;135.013;0.95;Electronic
67.0;0.0395;0.755;170440.0;0.96;2.43e-05;E;0.332;-3.189;Minor;0.123;99.023;0.6609999999999999;Hip-Hop
32.0;0.991;0.223;397800.0;0.0217;0.89;E;0.0728;-29.582;Major;0.0373;93.019;0.0386;Classical
56.0;0.415;0.7709999999999999;312053.0;0.56;4.86e-05;F;0.536;-5.636;Minor;0.0692;109.978;0.389;Rap
33.0;0.295;0.54;-1.0;0.949;0.0293;A;0.129;-3.434;Major;0.0604;74.961;0.4679999999999999;Electronic
30.0;0.963;0.2269999999999999;263970.0;0.162;0.0;A;0.151;-13.503;Major;0.0363;82.164;0.11;Classical
39.0;0.131;0.7290000000000001;299533.0;0.7390000000000001;4.4e-05;C#;0.0423;-8.7;Major;0.0309;92.536;0.937;Blues
42.0;0.146;0.809;348467.0;0.56;9.42e-05;G;0.0835;-8.644;Minor;0.0612;116.993;0.825;Jazz
54.0;0.016;0.675;270240.0;0.53;0.0;A;0.111;-4.196000000000001;Major;0.0385;124.991;0.0832;Rap
26.0;0.907;0.183;635773.0;0.12;0.755;E;0.2289999999999999;-21.257;Minor;0.0392;76.907;0.033;Classical
41.0;0.363;0.115;118000.0;0.2739999999999999;0.8590000000000001;E;0.376;-17.094;Minor;0.0383;168.459;0.138;Classical
40.0;0.7979999999999999;0.446;-1.0;0.3929999999999999;1.41e-05;A#;0.094;-7.707999999999999;Major;0.0265;;0.38;Country
74.0;0.0241;0.469;382834.0;0.537;0.00201;A;0.2689999999999999;-10.421;Major;0.152;124.193;0.7829999999999999;Rock
43.0;0.0503;0.498;353507.0;0.87;0.00025;B;0.441;-4.386;Minor;0.1159999999999999;;0.557;Blues
49.0;0.746;0.0829;245533.0;0.301;0.851;G;0.1119999999999999;-14.300999999999998;Major;0.0418;171.28799999999998;0.0752;Classical
47.0;0.141;0.3389999999999999;456027.0;0.276;0.0090599999999999;G;0.1;-10.746;Major;0.0285;83.181;0.308;Alternative
35.0;0.623;0.483;357173.0;0.295;0.831;A;0.0696;-18.402;Major;0.0487;90.02799999999999;0.268;Jazz
44.0;0.147;0.738;-1.0;0.7979999999999999;0.0;F;0.237;-4.372;Minor;0.0366;109.0;0.873;Alternative
56.0;0.465;0.9;427360.0;0.845;0.0;B;0.0724;-7.306;Minor;0.257;111.187;0.914;Hip-Hop
53.0;0.818;0.562;102078.0;0.377;0.792;C#;0.1159999999999999;-14.323;Major;0.427;72.807;0.12;Jazz
55.0;0.0384;0.794;-1.0;0.5920000000000001;1.86e-05;G#;0.111;-6.973;Major;0.129;97.201;0.177;Rap
54.0;0.8;0.7140000000000001;323667.0;0.59;0.901;A;0.111;-12.821;Major;0.0304;130.71;0.784;Alternative
69.0;0.00114;0.555;316718.0;0.883;0.0409999999999999;D;0.868;-3.426;Major;0.0341;125.02;0.507;Rock
21.0;0.1889999999999999;0.6509999999999999;130693.0;0.735;0.942;G#;0.179;-9.629;Major;0.0381;128.09799999999998;0.477;Anime
34.0;0.649;0.526;-1.0;0.176;0.000181;C;0.0923;-17.473;Major;0.0314;79.921;0.605;Blues
52.0;0.0235;0.8370000000000001;225882.0;0.64;3.6200000000000006e-05;E;0.1119999999999999;-7.819;Minor;0.0464;85.0;0.387;Hip-Hop
0.0;0.8270000000000001;0.472;321160.0;0.106;0.0;G;0.113;-26.152;Major;0.1;132.524;0.432;Classical
46.0;0.00682;0.481;226680.0;0.982;0.0;G#;0.157;-4.865;Minor;0.193;156.942;0.611;Alternative
76.0;0.000237;0.354;252613.0;0.982;0.000294;E;0.204;-3.026;Minor;0.168;143.77200000000002;0.1939999999999999;Rap
13.0;0.0183;0.619;312640.0;0.901;0.0122;G#;0.375;-5.033;Major;0.0476;112.994;0.5489999999999999;Anime
27.0;0.0277;0.5579999999999999;204330.0;0.764;0.00945;C;0.2339999999999999;-4.361000000000001;Minor;0.03;99.19;0.6779999999999999;Blues
67.0;0.2019999999999999;0.867;231040.0;0.7959999999999999;0.0;F#;0.0838;-4.73;Major;0.0693;92.766;0.7759999999999999;Hip-Hop
60.0;0.312;0.55;160693.0;0.382;1.11e-05;C;0.221;-6.428999999999999;Major;0.0263;136.128;0.4639999999999999;Blues
38.0;0.546;0.344;227493.0;0.921;0.919;D;0.236;-7.421;Major;0.0579999999999999;103.262;0.408;Jazz
51.0;0.0394;0.691;234750.0;0.931;3.07e-06;B;0.708;-3.639;Major;0.354;160.158;0.471;Electronic
52.0;0.214;0.659;129732.0;0.7440000000000001;1.12e-06;F#;0.069;-9.311;Major;0.406;170.03599999999997;0.326;Rap
38.0;0.00461;0.7240000000000001;185600.0;0.7070000000000001;0.248;E;0.0774;-2.395;Major;0.1169999999999999;149.906;0.476;Electronic
38.0;0.973;0.6970000000000001;217867.0;0.249;0.0277;A#;0.106;-12.417;Major;0.0518;111.3;0.69;Jazz
39.0;0.3389999999999999;0.439;274600.0;0.825;0.000192;G;0.0963;-5.5;Major;0.107;76.844;0.762;Blues
27.0;0.223;0.643;167667.0;0.758;0.0;D#;0.255;-6.232;Minor;0.039;151.55100000000002;0.757;Blues
63.0;0.0038399999999999;0.635;190448.0;0.908;0.0834;C#;0.239;-4.795;Minor;0.0563;110.012;0.637;Rock
37.0;0.984;0.157;136960.0;0.0553;0.8;A;0.107;-23.391;Major;0.0381;;0.0421;Classical
31.0;0.147;0.713;236326.0;0.7709999999999999;2.92e-06;A;0.0668;-3.454;Minor;0.0312;112.987;0.872;Blues
65.0;0.00318;0.526;250973.0;0.981;0.00161;G#;0.187;-1.82;Major;0.111;142.016;0.7809999999999999;Rock
34.0;0.0954;0.534;175832.0;0.517;0.0113;A;0.107;-7.734;Minor;0.0389;76.85;0.512;Blues
60.0;0.108;0.349;168973.0;0.8909999999999999;0.0138;D;0.2319999999999999;-6.026;Major;0.122;126.622;0.4;Rock
40.0;0.118;0.326;-1.0;0.639;0.0;E;0.955;-4.267;Minor;0.0384;;0.19;Blues
45.0;0.0464;0.708;309227.0;0.745;0.873;D;0.365;-6.961;Major;0.0424;122.016;0.161;Jazz
46.0;0.5;0.784;256920.0;0.63;0.0238;C;0.115;-5.894;Major;0.0341;91.994;0.564;Alternative
69.0;0.5660000000000001;0.428;323267.0;0.833;0.0;A#;0.0992;-4.4910000000000005;Minor;0.302;150.71200000000002;0.3989999999999999;Hip-Hop
51.0;0.214;0.606;197160.0;0.848;7.140000000000001e-05;E;0.111;-5.726;Major;0.0361;132.004;0.49;Country
39.0;0.282;0.579;209827.0;0.2319999999999999;0.0;D;0.3379999999999999;-12.651;Major;0.0261;89.59200000000001;0.284;Country
47.0;0.993;0.1119999999999999;303973.0;0.00376;0.953;C#;0.0936;-41.816;Minor;0.0499;63.364;0.104;Classical
47.0;0.0397;0.348;675653.0;0.7;0.00228;E;0.106;-8.885;Major;0.0611;93.614;0.416;Alternative
33.0;0.957;0.653;307200.0;0.291;0.782;E;0.341;-15.715;Major;0.0651;96.709;0.828;Classical
47.0;0.406;0.5660000000000001;396968.0;0.5379999999999999;0.0004969999999999;F#;0.979;-5.729;Major;0.0346;121.154;0.315;Rock
40.0;2.82e-05;0.485;189280.0;0.812;5.16e-06;G;0.257;-5.121;Major;0.0304;148.02700000000002;0.397;Country
66.0;0.4579999999999999;0.461;212560.0;0.715;1.56e-05;E;0.7190000000000001;-6.246;Minor;0.0281;86.09;0.455;Alternative
40.0;0.983;0.111;398413.0;0.0597;0.522;A;0.12;-25.472;Major;0.0523;82.756;0.0392;Classical
61.0;0.0729;0.41;216840.0;0.637;3.77e-05;A;0.732;-6.672999999999999;Major;0.0327;77.398;0.238;Rock
0.0;0.994;0.186;66773.0;0.0863;0.741;G#;0.304;-22.964;Major;0.0448;150.715;0.363;Classical
56.0;0.00163;0.58;327667.0;0.8170000000000001;0.0;E;0.118;-5.009;Major;0.214;89.008;0.238;Rap
40.0;0.0141;0.665;121280.0;0.7879999999999999;0.897;A#;0.422;-5.757000000000001;Minor;0.0725;189.88;0.6579999999999999;Jazz
26.0;0.153;0.149;177500.0;0.597;0.657;F;0.103;-11.934;Major;0.0384;180.221;0.0689;Electronic
67.0;0.346;0.8490000000000001;206655.0;0.755;0.0;C#;0.0564;-7.399;Minor;0.363;144.186;0.3929999999999999;Hip-Hop
39.0;0.863;0.427;140733.0;0.209;0.0;A;0.103;-13.851;Major;0.0308;102.668;0.3329999999999999;Country
19.0;0.099;0.319;159333.0;0.5539999999999999;0.893;C;0.0925;-10.34;Major;0.0287;100.032;0.078;Anime
57.0;0.611;0.7140000000000001;208773.0;0.5489999999999999;1.18e-06;A;0.0887;-5.982;Major;0.0655;138.07;0.132;Alternative
18.0;0.000401;0.542;293160.0;0.8859999999999999;0.0001199999999999;B;0.357;-2.734;Major;0.0426;;0.688;Anime
19.0;0.987;0.337;265292.0;0.0917;0.00664;C#;0.0891;-23.543000000000003;Minor;0.0411;79.419;0.24;Classical
21.0;0.0438;0.639;259720.0;0.833;0.0948;A;0.217;-4.287;Major;0.0345;134.02;0.8;Anime
40.0;0.0227;0.5660000000000001;297387.0;0.581;0.000815;F;0.1669999999999999;-6.933;Major;0.0245;100.117;0.326;Country
63.0;0.0168;0.607;-1.0;0.589;0.0;C#;0.0855;-4.928999999999999;Major;0.0542;130.431;0.069;Rap
52.0;0.866;0.514;254113.0;0.493;0.537;F;0.0982;-11.104;Minor;0.0275;146.954;0.215;Alternative
33.0;0.988;0.437;-1.0;0.2289999999999999;0.715;C;0.309;-14.145;Minor;0.0382;87.56700000000001;0.318;Jazz
42.0;0.0305;0.865;331159.0;0.371;0.862;A;0.107;-10.795;Major;0.12;;0.307;Electronic
55.0;0.361;0.504;195560.0;0.4;0.000158;A;0.211;-13.031;Major;0.0279;89.42200000000001;0.475;Jazz
59.0;0.327;0.759;-1.0;0.579;0.0;F#;0.0809;-7.148;Minor;0.138;82.521;0.1159999999999999;Rap
47.0;0.5710000000000001;0.416;221707.0;0.422;0.0;F#;0.161;-8.11;Major;0.0279;150.607;0.703;Country
24.0;0.979;0.322;357547.0;0.00945;0.938;C;0.0552;-33.928000000000004;Minor;0.0407;96.06;0.0421;Classical
34.0;0.00591;0.644;186240.0;0.927;0.4479999999999999;E;0.363;-4.651;Major;0.0508;125.001;0.316;Electronic
36.0;0.0269;0.482;186357.0;0.928;6.83e-06;C#;0.0865;-3.865;Major;0.0944;123.78;0.377;Blues
38.0;0.608;0.85;312507.0;0.74;0.000782;B;0.302;-6.327000000000001;Minor;0.0552;123.451;0.907;Electronic
39.0;0.0449;0.655;-1.0;0.664;0.0;F;0.541;-6.68;Minor;0.14;144.018;0.581;Electronic
38.0;0.0257;0.7759999999999999;280863.0;0.805;0.0;C#;0.258;-6.37;Major;0.177;140.011;0.5589999999999999;Country
47.0;0.0833;0.552;202887.0;0.58;0.0;C#;0.149;-3.478;Major;0.0281;;0.476;Country
26.0;0.871;0.364;231377.0;0.461;0.513;A;0.684;-10.034;Minor;0.0393;115.997;0.255;Anime
63.0;0.0742;0.765;201027.0;0.7509999999999999;0.1889999999999999;A#;0.247;-6.986000000000001;Major;0.04;108.001;0.514;Rap
60.0;0.0716;0.802;267133.0;0.7909999999999999;8.08e-06;F#;0.0651;-4.037;Minor;0.239;;0.772;Hip-Hop
50.0;0.0173;0.8540000000000001;441827.0;0.524;0.0;D;0.0713;-10.523;Major;0.1119999999999999;97.913;0.636;Rap
54.0;0.000758;0.695;253773.0;0.912;0.000103;A#;0.302;-3.3310000000000004;Minor;0.193;160.043;0.59;Rap
38.0;0.836;0.367;216747.0;0.539;0.43;G;0.0837;-9.058;Minor;0.0328;134.734;0.341;Anime
23.0;0.000598;0.6579999999999999;182465.0;0.997;0.0528;G;0.9;-1.95;Minor;0.364;100.063;0.231;Electronic
50.0;0.0522;0.1639999999999999;360680.0;0.792;0.00155;C#;0.0435;-4.281000000000001;Minor;0.0459;;0.314;Alternative
23.0;0.1939999999999999;0.591;316733.0;0.264;1.31e-05;G#;0.0896;-16.551;Major;0.034;121.295;0.251;Blues
67.0;0.1639999999999999;0.6579999999999999;188373.0;0.7879999999999999;0.0;G#;0.1169999999999999;-5.944;Minor;0.0437;116.043;0.4679999999999999;Rock
36.0;0.00116;0.326;243360.0;0.713;3.66e-05;A;0.146;-6.832000000000001;Major;0.0428;125.923;0.384;Anime
34.0;0.134;0.437;267000.0;0.65;0.0446;D;0.128;-11.431;Major;0.0299;110.461;0.777;Blues
30.0;0.991;0.4529999999999999;437067.0;0.0694;0.883;C;0.0949;-22.823;Major;0.038;138.445;0.291;Classical
42.0;0.599;0.46;179333.0;0.435;0.161;G;0.0878;-12.681;Minor;0.0315;139.684;0.58;Jazz
66.0;0.36;0.39;134387.0;0.625;0.0;A;0.0663;-7.813;Minor;0.0537;144.338;0.514;Rock
35.0;0.983;0.181;-1.0;0.0172;0.8759999999999999;C#;0.1169999999999999;-27.781;Minor;0.0354;87.338;0.0367;Classical
46.0;0.15;0.574;187206.0;0.769;0.00139;F#;0.126;-4.494;Minor;0.0352;99.994;0.424;Electronic
36.0;0.0016699999999999;0.467;180400.0;0.748;0.893;C#;0.107;-6.191;Major;0.0587;99.991;0.483;Electronic
60.0;0.00594;0.794;299600.0;0.5770000000000001;0.37;D;0.0708;-8.549;Major;0.111;82.46;0.645;Rock
59.0;0.802;0.455;171025.0;0.525;0.0;G;0.226;-9.225;Major;0.149;;0.3829999999999999;Rock
36.0;0.73;0.705;-1.0;0.427;0.943;G#;0.114;-9.423;Major;0.0462;98.965;0.7240000000000001;Jazz
40.0;4.48e-05;0.259;-1.0;0.989;0.0177;D;0.358;-5.005;Major;0.124;121.901;0.0842;Alternative
36.0;0.0228;0.637;155987.0;0.948;0.782;G;0.42;-6.362;Major;0.119;120.049;0.282;Blues
40.0;0.993;0.336;-1.0;0.0143;0.921;C#;0.074;-29.32;Major;0.0412;114.087;0.0362;Classical
15.0;0.109;0.66;206813.0;0.889;0.0;F;0.0858;-5.515;Major;0.106;140.01;0.847;Anime
54.0;0.0358;0.779;198440.0;0.633;0.0;G;0.0901;-11.643;Major;0.0305;127.167;0.7;Country
35.0;0.979;0.257;304067.0;0.141;0.933;B;0.145;-18.323;Major;0.0361;94.517;0.0426;Classical
50.0;0.0654;0.565;-1.0;0.602;0.0;A#;0.622;-6.352;Minor;0.206;93.679;0.6609999999999999;Hip-Hop
39.0;0.044;0.5429999999999999;268867.0;0.511;0.905;F;0.0839;-8.009;Minor;0.0303;126.007;0.0908;Anime
59.0;0.0067;0.555;120493.0;0.65;0.0491;E;0.236;-6.936;Major;0.0282;132.59;0.966;Rock
34.0;0.989;0.434;-1.0;0.000953;0.7190000000000001;G;0.062;-29.144;Major;0.0807;64.01;0.104;Classical
29.0;0.94;0.677;164280.0;0.246;0.0;C;0.361;-11.36;Minor;0.0786;108.995;0.452;Blues
71.0;0.0358;0.7040000000000001;141542.0;0.777;0.0;D;0.151;-5.729;Major;0.195;111.921;0.392;Hip-Hop
15.0;0.415;0.5920000000000001;-1.0;0.456;0.934;G;0.332;-7.244;Minor;0.0268;83.012;0.166;Anime
56.0;0.034;0.626;205600.0;0.672;6.69e-05;E;0.106;-5.917999999999999;Minor;0.221;;0.366;Rap
25.0;0.895;0.679;166000.0;0.384;0.0009609999999999;G;0.111;-11.978;Minor;0.037;131.02;0.759;Blues
57.0;0.0342;0.726;182498.0;0.856;4.6e-06;G#;0.302;-2.807;Major;0.035;114.022;0.962;Country
59.0;0.174;0.722;166482.0;0.597;0.183;E;0.181;-5.964;Minor;0.0264;103.975;0.389;Hip-Hop
26.0;0.607;0.7020000000000001;250280.0;0.747;0.0;E;0.0851;-5.9;Major;0.0275;129.965;0.7859999999999999;Anime
54.0;0.267;0.8109999999999999;208200.0;0.7170000000000001;0.0;D;0.128;-4.293;Major;0.0511;97.992;0.802;Hip-Hop
33.0;0.899;0.253;705080.0;0.128;0.919;E;0.144;-16.361;Minor;0.0349;131.842;0.0827;Classical
62.0;0.1989999999999999;0.7559999999999999;115333.0;0.317;0.8740000000000001;E;0.0746;-15.468;Minor;0.0703;121.001;0.108;Rap
52.0;0.66;0.609;260867.0;0.412;0.0283;F;0.133;-13.47;Minor;0.0343;86.949;0.797;Blues
28.0;0.528;0.5720000000000001;202837.0;0.5670000000000001;0.0005639999999999;D;0.131;-8.777000000000001;Major;0.031;;0.452;Blues
48.0;0.126;0.573;71307.0;0.326;2.78e-05;C#;0.121;-16.385;Major;0.487;;0.301;Hip-Hop
31.0;0.0412;0.616;-1.0;0.626;0.4539999999999999;B;0.0979;-7.837999999999999;Minor;0.0521;149.96200000000002;0.152;Electronic
30.0;0.0019399999999999;0.769;186253.0;0.696;0.0159;B;0.31;-6.648;Minor;0.0414;118.986;0.418;Electronic
62.0;0.294;0.675;248920.0;0.409;0.000596;C;0.119;-10.707;Minor;0.0423;79.954;0.308;Rock
51.0;0.0406;0.63;382827.0;0.884;0.0;G;0.0962;-4.894;Major;0.264;89.905;0.445;Alternative
42.0;0.514;0.6509999999999999;239433.0;0.529;0.0187;G;0.738;-8.597999999999999;Minor;0.0357;114.998;0.154;Jazz
21.0;0.0519;0.4479999999999999;280800.0;0.879;1.16e-06;A#;0.188;-4.187;Major;0.064;174.97799999999998;0.228;Anime
20.0;0.0519;0.6409999999999999;274493.0;0.852;0.0;A#;0.261;-4.14;Major;0.0389;128.974;0.7290000000000001;Anime
61.0;0.178;0.743;184276.0;0.731;0.0;D;0.0876;-3.417;Major;0.379;177.924;0.243;Hip-Hop
39.0;0.4379999999999999;0.737;293107.0;0.708;0.0019399999999999;B;0.1;-5.922000000000001;Minor;0.0309;;0.619;Blues
35.0;0.0193;0.3779999999999999;182667.0;0.537;3.21e-05;C;0.0786;-10.849;Major;0.0507;129.71;0.166;Jazz
55.0;0.00235;0.3339999999999999;-1.0;0.8540000000000001;0.00114;E;0.158;-7.531000000000001;Minor;0.0494;;0.284;Blues
57.0;0.1639999999999999;0.652;275893.0;0.8140000000000001;0.0;C#;0.36;-4.901;Major;0.31;91.888;0.7879999999999999;Hip-Hop
64.0;0.0174;0.75;314280.0;0.906;0.0;C;0.0551;-5.0280000000000005;Major;0.0477;135.96;0.562;Rap
0.0;0.95;0.561;147493.0;0.161;0.8270000000000001;F;0.0883;-17.719;Major;0.0894;;0.216;Classical
66.0;0.00457;0.496;260507.0;0.765;0.0;G;0.104;-5.66;Major;0.033;;0.337;Alternative
28.0;0.161;0.752;449733.0;0.273;0.0102;A;0.0676;-15.0;Major;0.0497;141.401;0.67;Blues
50.0;0.00235;0.728;122619.0;0.743;0.0;E;0.201;-7.66;Minor;0.299;93.981;0.5579999999999999;Hip-Hop
43.0;0.26;0.695;225441.0;0.485;0.0;B;0.111;-8.671;Minor;0.134;137.974;0.352;Alternative
55.0;0.0167;0.45;210084.0;0.857;0.0;F#;0.2019999999999999;-2.35;Major;0.0398;;0.755;Anime
38.0;0.8959999999999999;0.3429999999999999;304720.0;0.191;0.898;F;0.111;-15.171;Major;0.0285;71.968;0.0801;Jazz
33.0;0.69;0.647;233684.0;0.726;0.738;C#;0.113;-6.229;Major;0.149;152.025;0.3989999999999999;Jazz
58.0;0.108;0.8190000000000001;179138.0;0.642;0.0;B;0.0686;-9.309;Minor;0.311;139.97;0.247;Rap
44.0;0.125;0.449;394040.0;0.6809999999999999;0.375;A;0.0969;-9.288;Major;0.0319;;0.519;Blues
31.0;0.158;0.498;410867.0;0.5710000000000001;0.00945;C;0.0553;-8.341000000000001;Major;0.0281;139.226;0.492;Blues
55.0;0.6990000000000001;0.743;139200.0;0.799;0.0;G#;0.0635;-5.466;Minor;0.0375;;0.965;Rock
48.0;0.8340000000000001;0.723;189680.0;0.35;0.0075299999999999;D;0.103;-10.615;Major;0.111;105.606;0.309;Jazz
29.0;0.0327;0.49;292400.0;0.45;0.1969999999999999;A#;0.153;-10.384;Major;0.0288;173.329;0.8640000000000001;Blues
31.0;0.0854;0.4629999999999999;149600.0;0.968;0.523;C#;0.585;-2.178;Major;0.0902;87.902;0.5870000000000001;Blues
25.0;0.00341;0.475;307120.0;0.684;0.00893;A#;0.0835;-7.61;Major;0.03;157.107;0.306;Anime
35.0;0.989;0.223;241547.0;0.0152;0.018;G;0.0789;-27.658;Minor;0.057;;0.0373;Classical
67.0;0.0532;0.437;346587.0;0.727;0.0;D;0.103;-5.432;Major;0.0293;73.029;0.233;Rock
46.0;0.174;0.513;215907.0;0.6829999999999999;2.21e-05;F#;0.131;-6.494;Major;0.0287;153.889;0.347;Country
57.0;0.0471;0.406;242000.0;0.73;0.0;A;0.2289999999999999;-6.278;Major;0.0315;170.032;0.207;Rock
45.0;0.742;0.564;265867.0;0.354;0.0017699999999999;G#;0.0887;-15.456;Major;0.0366;;0.6679999999999999;Jazz
59.0;0.00413;0.5589999999999999;276707.0;0.912;0.0;F;0.0567;-6.799;Major;0.0608;103.13;0.653;Country
53.0;0.0497;0.897;176842.0;0.632;7.96e-06;E;0.111;-6.097;Minor;0.296;;0.499;Hip-Hop
33.0;0.0153;0.621;306913.0;0.866;0.794;C;0.0877;-6.292999999999999;Major;0.0277;109.971;0.534;Jazz
54.0;0.248;0.607;234240.0;0.614;0.0;G;0.359;-7.326;Major;0.0264;130.092;0.623;Country
77.0;0.00207;0.836;213358.0;0.579;0.0;A;0.11;-6.164;Major;0.243;85.486;0.431;Rap
62.0;0.961;0.171;180933.0;0.308;0.00546;D;0.319;-12.383;Major;0.0456;171.798;0.0889;Classical
37.0;0.111;0.8190000000000001;170960.0;0.442;0.0;F;0.0961;-7.66;Major;0.406;145.976;0.758;Alternative
60.0;0.268;0.478;154690.0;0.924;0.0;D;0.263;-6.191;Major;0.373;95.237;0.5660000000000001;Rap
50.0;0.000743;0.7170000000000001;263093.0;0.797;0.00283;A;0.106;-5.678;Minor;0.0294;112.129;0.961;Rock
72.0;0.411;0.6729999999999999;215067.0;0.395;0.00546;A;0.122;-8.639;Minor;0.123;170.074;0.1369999999999999;Rap
36.0;0.0175;0.4629999999999999;377908.0;0.482;0.836;C#;0.113;-16.398;Major;0.0343;95.128;0.544;Jazz
25.0;1.37e-06;0.427;194573.0;0.954;0.8220000000000001;G#;0.0556;-6.992999999999999;Major;0.0701;109.028;0.301;Anime
21.0;0.903;0.179;88840.0;0.123;0.821;F#;0.129;-20.592;Minor;0.0446;140.166;0.0357;Anime
